0: 0
1: 0!
2: 0!+0!
3: 11
4: 100
5: 101
6: 11!
7: 11!+0!
8: 100!!
9: 100!!+0!
10: 1010
11: s(101!+0!)
12: (11!)/.1
13: 1101
14: 101!!-(0!)
15: 101!!
16: .01^-(0!+0!)
17: .01^-(0!+0!)+0!
18: (11!)*11
19: s(((11!)!)*.1+0!)
20: 10100
21: 10101
22: 100!-(0!)-(0!)
23: 100!-(0!)
24: 100!
25: 100!+0!
26: 100!+0!+0!
27: 11^11
28: 11100
29: (101!!)/.1-(0!)
30: (101!!)/.1
31: .1^-101-(0!)
32: .1^-101
33: .1^-101+0!
34: 100010
35: (11!)^(0!+0!)-(0!)
36: (11!)^(0!+0!)
37: (11!)^(0!+0!)+0!
38: s(((11!)!+0!+0!)/.1)
39: 100!+101!!
40: (11!)!!-(100!!)
41: (11!)!!-(11!+0!)
42: (11!)!!-(11!)
43: (11!)!!-101
44: (11!)!!-100
45: (11!)!!-11
46: (11!)!!-(0!+0!)
47: (11!)!!-(0!)
48: (11!)!!
49: (11!)!!+0!
50: (11!)!!+0!+0!
51: (11!)!!+11
52: (11!)!!+100
53: ((11!+0!)!!+0!)*.1
54: (11!)!!+11!
55: (11!)!!+11!+0!
56: (11!)!!+100!!
57: (11!+0!)!!-((11!)!!)
58: (101!)*.1-(0!+0!)
59: (101!)*.1-(0!)
60: (101!)*.1
61: (101!)*.1+0!
62: .1^-(11!)-(0!+0!)
63: .1^-(11!)-(0!)
64: .1^-(11!)
65: .1^-(11!)+0!
66: .1^-(11!)+0!+0!
67: .1^-(11!)+0!+0!+0!
68: .1^-(11!)+100
69: s((11!+0!)!+0!)-(0!+0!)
70: s((11!+0!)!+0!)-(0!)
71: s((11!+0!)!+0!)
72: ((11!)!!)*(0!+.1)
73: ((11!)!!)*(0!+.1)+0!
74: ((11!)!!)*(0!+.1)+0!+0!
75: (100!+0!)*11
76: (s(((11!)!)*.1+0!))/.01
77: s((11!+0!)!+0!)+11!
78: ((11!)!!)*(0!+.101)
79: (101!)/(0!+.1)-(0!)
80: (101!)/(0!+.1)
81: 11^100
82: 11^100+0!
83: ((11!)!!)*(0!+.11)-(0!)
84: ((11!)!!)*(0!+.11)
85: ((11!)!!)*(0!+.11)+0!
86: ((11!)!!+0!-((0!+0!+0!)!))/.1
87: .1^-(11!)+100!-(0!)
88: .1^-(11!)+100!
89: ((11!)!)/(100!!)-(0!)
90: ((11!)!)/(100!!)
91: ((11!)!)/(100!!)+0!
92: ((11!)!!-(0!+0!))/.1
93: ((11!)!!-(0!))/.1-(0!)
94: ((11!)!!-(0!))/.1
95: ((11!)!!)/.1-(0!)
96: ((11!)!!)/.1
97: ((11!)!!)/.1+0!
98: ((11!)!!+0!)/.1
99: ((11!)!!+0!)/.1+0!
100: ((11!)!!+0!+0!)/.1
101: (11!+0!)!!-100
102: (11!+0!)!!-11
103: (11!+0!)!!-(0!+0!)
104: (11!+0!)!!-(0!)
105: (11!+0!)!!
106: (11!+0!)!!+0!
107: (11!+0!)!!+0!+0!
108: (11!+0!)!!+11
109: (11!+0!)!!+100
110: (11!+0!)!!+101
111: (11!+0!)!!+11!
112: 101!-(100!!)
113: (11!+0!)!!+100!!
114: 101!-(11!)
115: 101!-101
116: 101!-100
117: 101!-11
118: 101!-(0!)-(0!)
119: 101!-(0!)
120: 101!
121: 101!+0!
122: 101!+0!+0!
123: 101!+11
124: 101!+100
125: 101^11
126: 101!+11!
127: .1^-(11!+0!)-(0!)
128: .1^-(11!+0!)
129: .1^-(11!+0!)+0!
130: (.1^-(11!)+0!)/.1
131: (.1^-(11!)+0!)/.1+0!
132: ((11!)!!)*(0!+0!+.11)
133: ((11!)!!)*(0!+0!+.11)+0!
134: .1^-(11!+0!)+(0!+0!+0!)!
135: 101!+101!!
136: 101!+.01^-(0!+0!)
137: (100!-(0!))*(11!)-(0!)
138: (100!-(0!))*(11!)
139: ((11!+0!)!!)/.11-(0!)
140: ((11!+0!)!!)/.11
141: ((11!)!!-(0!))*11
142: (s((11!+0!)!+0!))/.1
143: ((11!)!!)*11-(0!)
144: ((11!)!!)*11
145: ((11!)!!)*11+0!
146: ((11!)!!)*11+0!+0!
147: ((11!)!!+0!)*11
148: ((11!)!!+0!)*11+0!
149: (101!)*(0!+.01)-(0!)
150: (101!)*(0!+.01)
151: (101!)*(0!+.01)+0!
152: (11!+0!)!!+(11!)!!-(0!)
153: (11!+0!)!!+(11!)!!
154: (11!+0!)!!+(11!)!!+0!
155: ((11!+0!)!!-(0!))*(0!+.1)-(0!)
156: ((11!+0!)!!-(0!))*(0!+.1)
157: ((11!+0!)!!-(0!))*(0!+.1)+0!
158: ((11!+0!)!!+0!)*(0!+.1)-(0!)
159: ((11!+0!)!!+0!)*(0!+.1)
160: (101!)/.11
161: (101!)/.11+0!
162: (11^100)/.1
163: (11^100)/.1+0!
164: (11^100+0!)/.1
165: (101!)*(0!+.011)
166: 101!-(0!)-(0!)+(11!)!!
167: 101!-(0!)+(11!)!!
168: 101!+(11!)!!
169: 1101^(0!+0!)
170: 1101^(0!+0!)+0!
171: 1101^10+0!+0!
172: ((11!)!)*.01-(100!!)
173: ((11!)!)*.01-(100!!-(0!))
174: ((11!)!)*.01-((0!+0!+0!)!)
175: (100!+0!)*(11!+0!)
176: .1^-(11!+0!)+((0!+0!+0!)!)!!
177: (101!-(0!)-(0!))*(0!+.1)
178: ((11!)!)*.01-(0!+0!)
179: ((11!)!)*.01-(0!)
180: ((11!)!)*.01
181: ((11!)!)*.01+0!
182: ((11!)!)*.01+0!+0!
183: (101!+0!+0!)*(0!+.1)
184: ((11!)!!-(0!+0!))/.01
185: ((11!)!!-(0!+0!))/.01+0!
186: ((100!!)!!)*.1-(11!)
187: ((11!)!!-(0!))/.01-(0!)
188: ((11!)!!-(0!))/.01
189: ((11!)!!-(0!))/.01+0!
190: (((11!)!!)/.1-(0!))/.1
191: ((100!!)!!)*.1-(0!)
192: ((100!!)!!)*.1
193: ((100!!)!!)*.1+0!
194: (((11!)!!)/.1+0!)/.1
195: ((11!)!!+0!)/.01-(0!)
196: ((11!)!!+0!)/.01
197: ((11!)!!+0!)/.01+0!
198: ((100!!)!!)*.1+11!
199: s((100!!)!-((11!)!)+0!)
200: ((11!)!!+0!+0!)/.01
201: ((11!)!!+0!+0!)/.01+0!
202: ((11!+0!)!!-100)/.1
203: ((11!)!)*.01+100!-(0!)
204: ((100!!)!!+100!)*.1
205: ((11!+0!)!!-(0!+0!))/.1-(0!)
206: ((11!+0!)!!-(0!+0!))/.1
207: ((11!+0!)!!-(0!))/.1-(0!)
208: ((11!+0!)!!-(0!))/.1
209: ((11!+0!)!!)/.1-(0!)
210: ((11!+0!)!!)/.1
211: ((11!+0!)!!)/.1+0!
212: ((11!+0!)!!+0!)/.1
213: ((11!+0!)!!+0!)/.1+0!
214: ((11!+0!)!!+0!+0!)/.1
215: (11!)^11-(0!)
216: (11!)^11
217: (11!)^11+0!
218: (11!)^11+0!+0!
219: (11!)^11+0!+0!+0!
220: ((100!!)!!+0!)/(0!+.11)
221: (101!!)^10-100
222: ((11!+0!)!!+(0!+0!+0!)!)/.1
223: (101!!)^10-(0!+0!)
224: (101!!)^(0!+0!)-(0!)
225: (101!!)^(0!+0!)
226: (101!!)^(0!+0!)+0!
227: (101!!)^10+0!+0!
228: (101!-((0!+0!+0!)!))/.1
229: (101!!)^10+100
230: ((11!)!!-(0!+0!))*101
231: (101!!)^(0!+0!)+11!
232: .1^-(100!!)-(100!)
233: (101!!)^10+100!!
234: (101!-(0!)-(0!+0!))/.1
235: ((11!)!!-(0!))*101
236: (101!-(0!)-(0!))/.1
237: (101!-(0!))/.1-(0!)
238: (101!-(0!))/.1
239: (101!)/.1-(0!)
240: (101!)/.1
241: (101!)/.1+0!
242: (101!+0!)/.1
243: 11^101
244: (101!+0!+0!)/.1
245: ((11!)!!+0!)*101
246: (101!+0!+0!+0!)/.1
247: (101!)/.1+100!!-(0!)
248: .1^-(100!!)-(100!!)
249: .1^-(100!!)-(11!+0!)
250: .1^-(100!!)-(11!)
251: .1^-(100!!)-101
252: (.1^-(11!)-(0!))/.01
253: .1^-(100!!)-11
254: .1^-(100!!)-(0!+0!)
255: .1^-(100!!)-(0!)
256: .1^-(100!!)
257: .1^-(100!!)+0!
258: .1^-(100!!)+0!+0!
259: .1^-(100!!)+11
260: (.1^-(11!)+0!)/.01
261: .1^-(100!!)+101
262: .1^-(100!!)+11!
263: (100!!)!!-(101!+0!)
264: (100!!)!!-(101!)
265: (100!!)!!-(101!-(0!))
266: .1^-(100!!)+1010
267: .1^-(100!!)+s(101!+0!)
268: ((11!)!)*.011-(0!+0!)
269: ((11!)!)*.011-(0!)
270: ((11!)!)*.011
271: ((11!)!)*.011+0!
272: ((11!)!)*.011+0!+0!
273: (101!!)^(0!+0!)+(11!)!!
274: (101!!)^(0!+0!)+(11!)!!+0!
275: ((11!)!!-(0!+0!))*(11!)-(0!)
276: ((11!)!!-(0!+0!))*(11!)
277: ((11!)!!-(0!+0!))*(11!)+0!
278: (100!!)!!-(0!)-((11!+0!)!!)
279: (100!!)!!-((11!+0!)!!)
280: ((11!+0!)!!)/.011
281: ((11!)!!-(0!))*(11!)-(0!)
282: ((11!)!!-(0!))*(11!)
283: ((11!)!!-(0!))*(11!)+0!
284: (s((11!+0!)!+0!))/.01
285: (((11!)!!)/.1-(0!))*(0!+0!+0!)
286: ((11!)!!)*(11!)-(0!+0!)
287: ((11!)!!)*(11!)-(0!)
288: ((11!)!!)*(11!)
289: ((11!)!!)*(11!)+0!
290: ((11!)!!)*(11!)+0!+0!
291: (((11!)!!)/.1+0!)*(0!+0!+0!)
292: (((11!)!!)*(0!+.1)+0!)/.01
293: ((11!)!!+0!)*(11!)-(0!)
294: ((11!)!!+0!)*(11!)
295: ((11!)!!+0!)*(11!)+0!
296: ((11!)!!+0!)*(11!)+0!+0!
297: ((100!!)!!)*.1+(11!+0!)!!
298: (101!)*10.1-(0!+0!)
299: (101!)*(0!+0!+.1)-(0!)
300: (101!)*(0!+0!+.1)
301: (101!)*(0!+0!+.1)+0!
302: (101!)*10.1+0!+0!
303: .1^-(100!!)-(0!)+(11!)!!
304: .1^-(100!!)+(11!)!!
305: .1^-(100!!)+(11!)!!+0!
306: ((11!+0!)!!+((0!+0!+0!)!)!!)/.1
307: ((.1^-11)!!+0!)/(0!+.01)-(0!)
308: ((100!!)!!+1)/(0!+.01)
309: ((11!+0!)!!-(0!+0!))*11
310: ((11!)!)/(0!+0!)-((11!)!!+0!+0!)
311: ((11!)!)*.1-(0!)-(((0!+0!+0!)!)!!)
312: ((11!)!)*.1-(((0!+0!+0!)!)!!)
313: ((11!)!)*.1+0!-(((0!+0!+0!)!)!!)
314: ((11!+0!)!!)*11-(0!)
315: ((11!+0!)!!)*11
316: ((11!+0!)!!)*11+0!
317: ((11!+0!)!!)*11+0!+0!
318: ((11!+0!)!!+0!)*11
319: ((11!)!)/(0!+0!+.01)-(0!)
320: ((11!)!)/(0!+0!+.01)
321: ((11!)!)/(0!+0!+.01)+0!
322: ((11!)!!-(0!+0!))*(11!+0!)
323: ((11!)*11)^(0!+0!)-(0!)
324: ((11!)*11)^(0!+0!)
325: ((11!)*11)^(0!+0!)+0!
326: ((11!)*11)^(0!+0!)+0!+0!
327: ((11!)!!-(0!))*(11!+0!)-(0!+0!)
328: ((11!)!!-(0!))*(11!+0!)-(0!)
329: ((11!)!!-(0!))*(11!+0!)
330: (101!)*(0!+0!+.11)
331: (101!)*(0!+0!+.11)+0!
332: (100!!)!!-((11!)!!)-100
333: ((11!)!!)*(11!+0!)-(0!+0!+0!)
334: (100!!)!!-((11!)!!)-(0!+0!)
335: (100!!)!!-((11!)!!)-(0!)
336: (100!!)!!-((11!)!!)
337: (100!!)!!-((11!)!!)+0!
338: (100!!)!!-((11!)!!)+0!+0!
339: ((101!!)^10+0!)*(0!+.1)
340: (.1^-(100!!)-(0!))/.11
341: (11!+0!)^11-(0!+0!)
342: (11!+0!)^11-(0!)
343: (11!+0!)^11
344: (11!+0!)^11+0!
